,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,target
1249,24,4,4,1,1,1,2,4,0,1
1250,27,4,4,1,1,0,3,3,0,1
1251,34,3,4,4,1,1,3,3,0,1
1252,29,3,4,2,1,1,1,4,0,1
1253,26,4,4,1,1,0,2,3,0,1
1254,37,4,4,7,1,1,1,4,0,1
1255,21,3,4,3,1,1,1,4,0,1
1256,47,4,4,4,0,1,2,4,0,1
1257,41,4,4,3,1,0,2,3,0,1
1258,29,3,4,3,1,1,1,3,0,1
1259,25,4,4,1,1,0,1,4,0,1
1260,33,4,4,2,0,0,1,3,0,1
1261,23,4,4,1,0,1,1,4,0,1
1262,32,4,4,4,1,1,2,3,0,1
1263,45,4,4,3,1,1,1,4,0,1
1264,37,4,4,4,1,1,1,4,0,1
1265,35,2,4,4,0,1,3,2,0,1
1266,37,4,4,3,1,1,3,4,0,1
1267,35,4,4,5,1,1,2,4,0,1
1268,23,4,4,1,1,1,3,3,0,1
1269,38,2,2,8,1,1,2,2,0,1
1270,41,4,4,4,0,0,2,4,0,1
1271,35,1,2,9,1,0,3,1,0,1
1272,29,4,4,3,1,1,3,2,0,1
1273,26,3,3,2,1,1,1,3,0,1
1274,22,3,3,2,1,1,3,3,0,1
1275,30,2,3,5,1,1,3,1,1,1
1276,36,4,4,3,1,1,3,3,0,1
1277,26,3,4,3,1,1,1,4,0,1
1278,32,4,4,2,1,0,3,4,0,1
1279,39,4,4,3,0,1,2,4,0,1
1280,29,3,4,3,1,1,1,3,0,1
1281,40,4,4,5,1,1,1,3,0,1
1282,43,3,3,6,1,0,3,2,0,1
1283,44,3,4,6,1,1,3,2,0,1
1284,24,4,4,2,1,1,2,4,0,1
1285,42,4,4,3,1,0,1,4,0,1
1286,33,3,4,2,1,1,1,4,0,1
1287,24,4,4,1,0,1,2,3,0,1
1288,28,3,4,2,0,1,2,3,0,1
1289,32,2,1,5,1,0,2,2,0,1
1290,26,2,2,4,1,1,3,4,0,1
1291,27,4,4,1,1,1,1,4,0,1
1292,41,3,4,3,0,1,2,4,0,1
1293,28,3,4,2,0,1,3,3,0,1
1294,23,4,4,1,1,0,3,4,0,1
1295,31,2,2,4,1,1,4,3,1,1
1296,33,4,4,3,0,1,2,4,0,1
1297,35,4,4,5,1,1,1,4,0,1
1298,39,3,4,5,1,1,3,4,0,1
1299,27,4,4,2,1,1,1,3,0,1
1300,48,4,4,3,0,1,1,4,0,1
1301,25,3,1,2,1,0,3,4,0,1
1302,38,4,4,4,1,1,2,4,0,1
1303,48,4,4,7,1,0,1,4,0,1
1304,34,4,4,4,1,0,3,3,0,1
1305,36,3,3,4,1,1,1,3,0,1
1306,34,4,4,3,1,0,3,4,0,1
1307,42,4,4,4,0,0,2,4,0,1
1308,45,3,3,5,0,1,1,3,0,1
1309,37,4,4,4,0,1,2,4,0,1
1310,38,4,4,3,0,0,2,4,0,1
1311,42,3,3,4,0,1,3,4,0,1
1312,42,2,4,5,0,1,2,3,0,1
1313,41,4,4,6,1,1,1,4,0,1
1314,43,4,4,5,0,1,1,4,0,1
1315,34,4,4,2,0,0,3,2,0,1
1316,44,2,3,1,0,1,2,4,0,1
1317,41,4,4,4,0,1,1,4,0,1
1318,36,4,4,3,1,1,1,4,0,1
1319,34,1,2,5,1,1,3,4,0,1
1320,32,3,2,5,1,1,3,3,0,2
1321,34,3,3,6,1,1,1,4,0,2
1322,24,4,4,2,1,0,3,3,0,2
1323,21,3,3,1,0,1,3,2,0,2
1324,38,4,3,9,1,1,3,3,0,2
1325,39,4,4,3,1,0,1,4,0,2
1326,35,2,2,6,1,0,2,2,1,2
1327,30,2,3,7,1,1,3,3,0,2
1328,17,3,4,1,1,1,3,3,0,2
1329,32,2,4,3,1,1,3,4,0,2
1330,43,4,4,5,0,1,1,4,0,2
1331,31,2,2,4,1,1,3,3,0,2
1332,24,1,2,3,1,1,3,2,0,2
1333,26,2,4,3,1,1,1,3,0,2
1334,35,3,4,4,1,0,1,4,0,2
1335,46,3,4,4,1,0,3,4,0,2
1336,29,2,3,3,1,1,3,3,0,2
1337,21,3,4,1,1,0,3,4,0,2
1338,31,4,4,5,1,0,1,4,0,2
1339,24,4,4,2,1,1,3,3,0,2
1340,24,2,4,3,1,1,3,3,0,2
1341,36,4,4,4,1,1,1,3,0,2
1342,37,2,3,9,1,1,3,3,0,2
1343,37,3,3,6,1,1,3,3,0,2
1344,37,3,3,11,1,1,1,2,0,2
1345,44,4,4,4,0,1,2,3,0,2
1346,35,2,3,6,1,1,2,3,0,2
1347,25,4,4,3,1,1,3,3,0,2
1348,21,4,4,2,1,1,2,3,0,2
1349,24,1,2,3,1,1,3,2,0,2
1350,16,2,3,1,1,1,3,1,0,2
1351,21,3,2,1,1,1,3,1,1,2
1352,25,2,4,2,1,1,2,4,0,2
1353,26,4,4,1,1,0,2,4,0,2
1354,43,4,4,2,1,1,1,4,0,2
1355,24,4,4,1,1,1,1,4,0,2
1356,30,3,4,3,0,1,3,3,0,2
1357,30,2,3,3,1,1,3,3,0,2
1358,26,4,4,2,1,1,3,3,0,2
1359,29,2,4,4,1,1,3,2,0,2
1360,24,3,4,4,1,1,3,1,0,2
1361,29,3,3,2,1,1,3,2,0,2
1362,29,1,2,1,1,1,3,3,0,2
1363,22,4,4,1,1,1,2,4,0,2
1364,30,3,3,4,1,0,3,2,0,2
1365,24,4,4,1,1,1,2,3,0,2
1366,25,4,4,2,1,1,1,2,0,2
1367,44,4,4,5,1,0,1,4,0,2
1368,28,2,3,3,1,1,2,4,0,2
1369,22,3,3,1,1,1,3,2,0,2
1370,30,2,2,6,1,0,2,3,0,2
1371,25,3,4,3,1,1,2,4,0,2
1372,25,4,4,2,1,1,3,3,0,2
1373,33,4,4,2,1,0,1,4,0,2
1374,33,3,3,4,1,0,2,3,0,2
1375,26,3,3,2,1,0,2,2,0,2
1376,29,3,4,5,1,1,3,3,0,2
1377,32,3,3,4,1,1,2,1,0,2
1378,30,4,4,1,1,0,3,2,0,2
1379,37,4,4,1,0,1,1,4,0,2
1380,31,1,2,4,1,1,3,3,0,2
1381,36,1,2,4,1,1,3,1,1,2
1382,36,2,2,7,1,0,2,2,1,2
1383,26,3,4,2,1,0,2,4,0,2
1384,36,4,4,3,1,1,1,4,0,2
1385,28,4,4,1,1,1,2,4,0,2
1386,33,4,4,5,1,1,3,3,0,2
1387,25,3,4,2,1,0,2,4,0,2
1388,31,4,4,2,0,1,1,4,0,2
1389,38,4,4,4,1,0,1,4,0,2
1390,35,1,2,5,1,1,3,3,0,2
1391,33,4,4,3,0,0,2,4,0,2
1392,30,2,2,2,1,1,3,2,0,2
1393,20,3,3,2,1,1,2,2,1,2
1394,18,3,3,1,1,1,2,2,0,2
1395,30,3,2,3,1,1,3,3,0,2
1396,35,2,3,6,1,0,3,2,0,2
1397,22,3,3,2,1,1,3,1,0,2
1398,28,2,4,7,1,1,3,3,0,2
1399,21,3,3,1,1,1,3,1,0,2
1400,27,3,4,4,1,1,3,4,0,2
1401,30,3,4,3,1,1,3,3,0,2
1402,25,3,4,2,1,1,3,3,0,2
1403,26,4,4,3,1,1,3,2,0,2
1404,37,2,4,5,1,1,1,4,0,2
1405,47,1,3,9,1,0,3,3,0,2
1406,36,1,1,5,1,1,3,3,0,2
1407,36,2,3,6,1,1,2,4,0,2
1408,36,4,4,3,1,1,2,4,0,2
1409,28,4,4,4,1,1,3,4,0,2
1410,21,4,4,2,1,1,3,3,0,2
1411,25,4,4,2,1,1,2,3,0,2
1412,30,3,4,3,1,1,3,4,0,2
1413,22,3,3,3,1,1,3,3,0,2
1414,23,4,3,2,1,0,2,3,0,2
1415,36,3,4,9,1,1,3,4,0,2
1416,28,4,3,2,1,1,3,2,0,2
1417,46,2,2,5,1,1,2,4,0,2
1418,47,4,4,5,1,1,3,2,0,2
1419,41,1,4,5,1,0,2,4,0,2
1420,44,4,4,5,1,1,3,4,0,2
1421,34,2,3,3,0,1,3,2,1,2
1422,37,2,3,6,1,1,3,4,0,2
1423,34,4,4,2,0,1,1,4,0,2
1424,22,2,4,2,1,1,3,2,0,2
1425,33,2,3,4,1,1,2,3,0,2
1426,21,3,4,3,1,1,3,1,0,2
1427,31,4,4,4,1,0,3,4,0,2
1428,41,4,3,5,1,0,3,4,0,2
1429,30,4,3,4,1,1,3,3,0,2
1430,32,2,4,5,1,1,3,4,0,2
1431,27,4,4,2,0,0,2,4,0,2
1432,26,4,4,1,0,0,2,4,0,2
1433,42,4,4,5,0,1,2,4,0,2
1434,24,4,4,1,1,1,1,3,0,2
1435,37,4,4,6,1,1,1,4,0,2
1436,30,2,3,5,1,0,3,4,0,2
1437,27,4,4,1,1,1,1,4,0,2
1438,34,2,4,6,1,1,3,3,0,2
1439,32,3,4,5,0,1,1,4,0,2
1440,28,4,4,1,0,0,2,4,0,2
1441,29,3,3,1,0,0,2,4,0,2
1442,42,4,4,3,0,1,2,4,0,2
1443,21,2,2,0,0,1,4,4,0,2
1444,22,4,4,2,1,1,3,4,0,2
1445,36,4,4,3,0,1,3,4,0,2
1446,45,2,3,3,0,0,2,4,0,2
1447,34,4,4,2,0,0,2,4,0,2
1448,35,2,3,5,1,1,3,3,0,2
1449,19,4,4,1,1,1,2,3,0,2
1450,27,4,4,4,1,1,3,3,0,2
1451,37,2,4,4,1,0,2,3,0,2
1452,26,3,2,4,1,1,3,4,0,2
1453,28,1,3,5,1,1,3,4,0,2
1454,31,3,4,5,1,1,1,4,0,2
1455,32,2,2,6,1,1,2,3,0,2
1456,40,2,2,4,0,0,2,4,0,2
1457,27,3,3,5,1,1,2,4,0,2
1458,27,2,2,3,1,1,2,2,1,2
1459,37,4,4,5,0,0,2,4,0,2
1460,22,4,3,1,1,1,2,2,0,2
1461,27,4,4,4,1,1,1,2,1,2
1462,21,4,4,1,0,1,2,4,0,2
1463,30,1,3,2,1,1,3,4,0,2
1464,23,2,2,1,1,1,2,4,0,2
1465,25,2,4,3,1,1,1,3,0,2
1466,42,2,4,6,1,1,2,4,0,2
1467,29,4,4,3,1,1,1,4,0,2
1468,33,4,4,2,1,0,2,4,0,2
1469,33,4,4,3,1,1,1,4,0,2
1470,39,3,3,8,1,0,1,4,0,2
1471,33,3,3,4,1,0,2,2,0,2
1472,17,3,3,1,1,1,2,4,0,2
